region_id,region_nombre,comuna_id,comuna_nombre,total_votos_1era,votos_boric,votos_kast,votos_artes,votos_parisi,votos_meo,votos_sichel,votos_provoste,opcion,n_votos_pleb,total_votos_pleb,voto_apruebo,voto_rechazo,participacion,dif_1era_pleb
3001,DE TARAPACA,2501,IQUIQUE,74030,15562,24113,982,15755,4687,6581,6037,APRUEBO,61103,80371,61103,,.47688347,-6341
3013,METROPOLITANA DE SANTIAGO,2807,ISLA DE MAIPO,13781,3466,3638,199,1505,1367,1743,1827,APRUEBO,12381,15226,12381,,.5534628,-1445
3005,DE VALPARAISO,2548,ISLA DE PASCUA,3027,972,581,41,311,323,314,352,APRUEBO,2292,2726,2292,,.4503552,301
3005,DE VALPARAISO,2544,JUAN FERNANDEZ,321,144,61,5,6,22,42,37,APRUEBO,377,439,377,,.478735,-118
3013,METROPOLITANA DE SANTIAGO,2766,LA CISTERNA,39184,13048,9830,733,2560,3410,5577,4101,APRUEBO,37198,45847,37198,,.54693091,-6663
3005,DE VALPARAISO,2561,LA CRUZ,9252,2124,2639,100,1616,646,1249,808,APRUEBO,6989,9006,6989,,.57144672,246
3006,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,2597,LA ESTRELLA,1843,406,514,19,128,113,301,326,APRUEBO,1158,1484,1158,,.42939815,359
3013,METROPOLITANA DE SANTIAGO,2767,LA FLORIDA,159536,58319,33562,3003,10735,13959,23602,16861,APRUEBO,153235,182589,153235,,.59092814,-23053
3013,METROPOLITANA DE SANTIAGO,2768,LA GRANJA,45224,14887,8105,1002,4760,5644,4561,5911,APRUEBO,49981,57326,49981,,.54471016,-12102
3004,DE COQUIMBO,2529,LA HIGUERA,1640,459,322,30,405,116,109,296,APRUEBO,1345,1564,1345,,.36420906,76
3005,DE VALPARAISO,2553,LA LIGUA,14353,4229,3165,195,2257,1079,1680,1896,APRUEBO,13580,16001,13580,,.53043419,-1648
3013,METROPOLITANA DE SANTIAGO,2769,LA PINTANA,54991,16023,9018,1227,7364,9024,4585,7554,APRUEBO,64779,73723,64779,,.523224,-18732
3013,METROPOLITANA DE SANTIAGO,2770,LA REINA,56814,15721,17036,574,1222,1779,13724,6293,APRUEBO,39970,59183,39970,,.64124769,-2369
3004,DE COQUIMBO,2526,LA SERENA,82509,23245,20297,1218,13743,5558,10033,9044,APRUEBO,73254,90124,73254,,.52045965,-7615
3014,DE LOS RIOS,2818,LA UNION,16239,2783,5954,163,2212,763,1840,2322,APRUEBO,10749,14908,10749,,.41876057,1331
3014,DE LOS RIOS,2820,LAGO RANCO,4430,703,1740,51,487,188,475,655,APRUEBO,2093,3348,2093,,.36139631,1082
3011,DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,2738,LAGO VERDE,475,75,216,11,31,16,46,65,APRUEBO,247,373,247,,.32096636,102
3012,DE MAGALLANES Y DE LA ANTARTICA CHILENA,2748,LAGUNA BLANCA,306,57,134,3,25,26,24,33,APRUEBO,139,201,139,,.2433414,105
3008,DEL BIOBIO,2664,LAJA,9096,1299,2709,83,2295,632,880,1017,APRUEBO,7030,9327,7030,,.43420684,-231
3013,METROPOLITANA DE SANTIAGO,2794,LAMPA,28657,7393,7308,456,3985,3219,3676,2752,APRUEBO,25995,31541,25995,,.55074799,-2884
3014,DE LOS RIOS,2812,LANCO,6781,1413,2312,78,1000,309,561,981,APRUEBO,5084,6697,5084,,.41787785,84
3006,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,2585,LAS CABRAS,9046,1993,2392,104,826,779,1282,1470,APRUEBO,7187,8668,7187,,.43384308,378
3013,METROPOLITANA DE SANTIAGO,2771,LAS CONDES,170766,22145,78095,598,1826,2556,53138,12286,APRUEBO,73386,166543,73386,,.61739993,4223
3009,DE LA ARAUCANIA,2682,LAUTARO,15397,2171,6914,144,1829,785,1281,2197,APRUEBO,8037,12915,8037,,.37901875,2482
3008,DEL BIOBIO,2654,LEBU,8935,1581,3442,95,1238,647,527,1361,APRUEBO,5630,8516,5630,,.38281566,419
3007,DEL MAULE,2627,LICANTEN,3054,562,735,29,347,187,628,539,APRUEBO,2412,2929,2412,,.42761043,125
3005,DE VALPARAISO,2576,LIMACHE,19264,5242,5734,280,2528,1295,2418,1791,APRUEBO,15572,20221,15572,,.52376634,-957
3007,DEL MAULE,2634,LINARES,36822,7900,12574,318,4896,2371,4493,4137,APRUEBO,25878,35878,25878,,.43234587,944
3006,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,2598,LITUECHE,3186,673,935,31,208,200,470,615,APRUEBO,1971,2529,1971,,.40938616,657
3005,DE VALPARAISO,2571,LLAILLAY,10411,2900,1688,169,2060,974,1006,1441,APRUEBO,10304,11645,10304,,.56196314,-1234
3010,DE LOS LAGOS,2713,LLANQUIHUE,7960,1395,2618,66,1390,553,627,1186,APRUEBO,5682,7811,5682,,.48642406,149
3013,METROPOLITANA DE SANTIAGO,2772,LO BARNECHEA,55042,4617,28309,200,1189,1249,16644,2570,APRUEBO,21111,55258,21111,,.67767113,-216
3013,METROPOLITANA DE SANTIAGO,2773,LO ESPEJO,37847,12552,6382,923,4296,5690,3233,4562,APRUEBO,44806,50594,44806,,.54824352,-12747
3013,METROPOLITANA DE SANTIAGO,2774,LO PRADO,39814,12923,7554,910,3878,5272,4434,4785,APRUEBO,44379,51366,44379,,.57061213,-11552
3006,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,2605,LOLOL,3025,568,812,18,228,120,569,654,APRUEBO,1815,2433,1815,,.36193028,592
3009,DE LA ARAUCANIA,2683,LONCOCHE,9640,1516,3501,93,1306,588,938,1537,APRUEBO,6125,8237,6125,,.35712737,1403
3007,DEL MAULE,2636,LONGAVI,10115,1644,4182,56,1077,518,1186,1414,APRUEBO,5457,7859,5457,,.29665342,2256
3009,DE LA ARAUCANIA,2700,LONQUIMAY,4737,580,2144,32,427,169,326,880,APRUEBO,1963,3349,1963,,.27939823,1388
3008,DEL BIOBIO,2659,LOS ALAMOS,8125,1030,3497,78,1267,380,477,1073,APRUEBO,4194,6650,4194,,.37263808,1475
3005,DE VALPARAISO,2549,LOS ANDES,29497,7177,7144,330,5366,2268,3590,3241,APRUEBO,25366,31276,25366,,.55814534,-1779
